product_position,product_name,product_permalink,image_number,source_url,source_width,source_height,folder,local_path,bytes,download_status,error
29,Rata de Arbol Satanica (Satanic Tree Rat) - Others,rata-de-arbol-satanica-satanic-tree-rat-others,1,https://assets.bigcartel.com/product_images/318923610/PXL_20211019_194008335.jpg,3024,4032,products/029_rata-de-arbol-satanica-satanic-tree-rat-others,products/029_rata-de-arbol-satanica-satanic-tree-rat-others/images/01.jpg,272673,OK,
29,Rata de Arbol Satanica (Satanic Tree Rat) - Others,rata-de-arbol-satanica-satanic-tree-rat-others,2,https://assets.bigcartel.com/product_images/318923622/PXL_20211023_124711297.jpg,4032,3024,products/029_rata-de-arbol-satanica-satanic-tree-rat-others,products/029_rata-de-arbol-satanica-satanic-tree-rat-others/images/02.jpg,107722,OK,
30,Vinny Barbarainbow,vinny-barbarainbow,1,https://assets.bigcartel.com/product_images/294720090/PXL_20210204_004509109.jpg,3595,2138,products/030_vinny-barbarainbow,products/030_vinny-barbarainbow/images/01.jpg,373434,OK,
30,Vinny Barbarainbow,vinny-barbarainbow,2,https://assets.bigcartel.com/product_images/294720087/PXL_20210204_004524135.jpg,3824,2323,products/030_vinny-barbarainbow,products/030_vinny-barbarainbow/images/02.jpg,284318,OK,
30,Vinny Barbarainbow,vinny-barbarainbow,3,https://assets.bigcartel.com/product_images/294720093/PXL_20210110_230820765~2.jpg,3024,4032,products/030_vinny-barbarainbow,products/030_vinny-barbarainbow/images/03.jpg,365581,OK,
31,BerniE.T. Part II: Beyond the Pale,bernie-t-part-ii-beyond-the-pale,1,https://assets.bigcartel.com/product_images/294719625/PXL_20210131_225814746.jpg,3024,4032,products/031_bernie-t-part-ii-beyond-the-pale,products/031_bernie-t-part-ii-beyond-the-pale/images/01.jpg,143861,OK,
31,BerniE.T. Part II: Beyond the Pale,bernie-t-part-ii-beyond-the-pale,2,https://assets.bigcartel.com/product_images/294719622/PXL_20210204_004602528.jpg,4032,2795,products/031_bernie-t-part-ii-beyond-the-pale,products/031_bernie-t-part-ii-beyond-the-pale/images/02.jpg,262355,OK,
31,BerniE.T. Part II: Beyond the Pale,bernie-t-part-ii-beyond-the-pale,3,https://assets.bigcartel.com/product_images/294851802/PXL_20210206_161328620.jpg,3294,2723,products/031_bernie-t-part-ii-beyond-the-pale,products/031_bernie-t-part-ii-beyond-the-pale/images/03.jpg,272012,OK,
31,BerniE.T. Part II: Beyond the Pale,bernie-t-part-ii-beyond-the-pale,4,https://assets.bigcartel.com/product_images/294851799/PXL_20210206_161339836.jpg,3982,2230,products/031_bernie-t-part-ii-beyond-the-pale,products/031_bernie-t-part-ii-beyond-the-pale/images/04.jpg,250494,OK,
32,Mork & Monkey,mork-monkey,1,https://assets.bigcartel.com/product_images/294719883/PXL_20210115_220102689.jpg,3024,3936,products/032_mork-monkey,products/032_mork-monkey/images/01.jpg,367236,OK,
32,Mork & Monkey,mork-monkey,2,https://assets.bigcartel.com/product_images/294719886/PXL_20210115_220324545.jpg,2936,3907,products/032_mork-monkey,products/032_mork-monkey/images/02.jpg,490670,OK,
32,Mork & Monkey,mork-monkey,3,https://assets.bigcartel.com/product_images/294719874/PXL_20210115_211859776.jpg,3024,4032,products/032_mork-monkey,products/032_mork-monkey/images/03.jpg,136683,OK,
32,Mork & Monkey,mork-monkey,4,https://assets.bigcartel.com/product_images/294719877/PXL_20210115_211835872.jpg,3024,4032,products/032_mork-monkey,products/032_mork-monkey/images/04.jpg,121599,OK,
32,Mork & Monkey,mork-monkey,5,https://assets.bigcartel.com/product_images/294719880/PXL_20210115_212111294.jpg,3024,4032,products/032_mork-monkey,products/032_mork-monkey/images/05.jpg,143475,OK,
33,Johnny De-Kai : Raw Meat Edition,johnny-de-kai,1,https://assets.bigcartel.com/product_images/279911063/PXL_20201004_205953329.jpg,2966,3040,products/033_johnny-de-kai,products/033_johnny-de-kai/images/01.jpg,359109,OK,
33,Johnny De-Kai : Raw Meat Edition,johnny-de-kai,2,https://assets.bigcartel.com/product_images/279911066/PXL_20201004_205931195.jpg,2852,3124,products/033_johnny-de-kai,products/033_johnny-de-kai/images/02.jpg,347282,OK,
33,Johnny De-Kai : Raw Meat Edition,johnny-de-kai,3,https://assets.bigcartel.com/product_images/279911069/PXL_20201004_160431178.jpg,3024,4032,products/033_johnny-de-kai,products/033_johnny-de-kai/images/03.jpg,172044,OK,
33,Johnny De-Kai : Raw Meat Edition,johnny-de-kai,4,https://assets.bigcartel.com/product_images/279911072/PXL_20201004_160325700.jpg,3024,4032,products/033_johnny-de-kai,products/033_johnny-de-kai/images/04.jpg,174386,OK,
33,Johnny De-Kai : Raw Meat Edition,johnny-de-kai,5,https://assets.bigcartel.com/product_images/279911078/PXL_20200921_224000789.jpg,3024,4032,products/033_johnny-de-kai,products/033_johnny-de-kai/images/05.jpg,268195,OK,
34,Johnny De-Kai One-Offs,johnny-de-kai-one-offs,1,https://assets.bigcartel.com/product_images/279923861/johhny1.jpg,1000,566,products/034_johnny-de-kai-one-offs,products/034_johnny-de-kai-one-offs/images/01.jpg,110095,OK,
34,Johnny De-Kai One-Offs,johnny-de-kai-one-offs,2,https://assets.bigcartel.com/product_images/279923864/johhny2.jpg,1000,572,products/034_johnny-de-kai-one-offs,products/034_johnny-de-kai-one-offs/images/02.jpg,127662,OK,
34,Johnny De-Kai One-Offs,johnny-de-kai-one-offs,3,https://assets.bigcartel.com/product_images/279923858/johhny3.jpg,500,656,products/034_johnny-de-kai-one-offs,products/034_johnny-de-kai-one-offs/images/03.jpg,61683,OK,
35,Wasteland Punx,wasteland-punx,1,https://assets.bigcartel.com/product_images/257337728/00100lrPORTRAIT_00100_BURST20200330174536641_COVER.jpg,3024,4032,products/035_wasteland-punx,products/035_wasteland-punx/images/01.jpg,158732,OK,
35,Wasteland Punx,wasteland-punx,2,https://assets.bigcartel.com/product_images/257337740/91569045_234100174373766_7820704583486799872_n.jpg,1080,1230,products/035_wasteland-punx,products/035_wasteland-punx/images/02.jpg,368617,OK,
35,Wasteland Punx,wasteland-punx,3,https://assets.bigcartel.com/product_images/257337758/IMG_20200403_083940+_1_.jpg,3024,4032,products/035_wasteland-punx,products/035_wasteland-punx/images/03.jpg,523063,OK,
36,The Accomplice Hand - The Bad One 4 & 5,the-accomplice-hand-the-bad-one,1,https://assets.bigcartel.com/product_images/302574360/4.png,3024,4032,products/036_the-accomplice-hand-the-bad-one,products/036_the-accomplice-hand-the-bad-one/images/01.png,837786,OK,
36,The Accomplice Hand - The Bad One 4 & 5,the-accomplice-hand-the-bad-one,2,https://assets.bigcartel.com/product_images/302574357/4b.png,3024,4032,products/036_the-accomplice-hand-the-bad-one,products/036_the-accomplice-hand-the-bad-one/images/02.png,830558,OK,
36,The Accomplice Hand - The Bad One 4 & 5,the-accomplice-hand-the-bad-one,3,https://assets.bigcartel.com/product_images/302574492/5.png,3024,4032,products/036_the-accomplice-hand-the-bad-one,products/036_the-accomplice-hand-the-bad-one/images/03.png,822392,OK,
36,The Accomplice Hand - The Bad One 4 & 5,the-accomplice-hand-the-bad-one,4,https://assets.bigcartel.com/product_images/302574495/5b.png,3024,4032,products/036_the-accomplice-hand-the-bad-one,products/036_the-accomplice-hand-the-bad-one/images/04.png,780248,OK,
36,The Accomplice Hand - The Bad One 4 & 5,the-accomplice-hand-the-bad-one,5,https://assets.bigcartel.com/product_images/302588640/hand.jpg,1299,1480,products/036_the-accomplice-hand-the-bad-one,products/036_the-accomplice-hand-the-bad-one/images/05.jpg,480291,OK,
